Summary,Review,Rating
"Poor management at WalMart. Too many non-technical, high school dropouts at senior management level","Poor management at WalMart. Too many non-technical,  at senior management level. Very hard to get promoted unless you are in their network. Promotions are not based on merit.",1
Walmart Home office review,A typical day in the position of a resolution specialist would consist of taking back to back phone calls of either customers or associates complaining and sometimes complimenting other associates for their work. The only part I did not like was that you were based on a point system for your attendance and if you got up to 9 points because you were sick you would get fired.,5
Typical day,The hardest part of the job is attempting to balance all the incoming deductions to be researched with the number of Associates allowed on the Team. Great company to work for.,5
fast paced,faced paced and work was expected to be done in a timely matter. Most of the leadership is very fair and great to work for. The true culture that Walmart was founded on is very solid,5
Great place to work.,I loved working at Walmart.  Plenty of room for advancement and they will train from within. Fun environment and very understanding management when it comes to family.,3
overall busy and time consuming,Honestly its a good place to start when you are young of age but not so when you have children and are older than 25. In short the company is good for youth,4
"No Congruancy, things change on a dime and usually not for the better.  Accounting systems take time to implement and receive feedback","I think that where you work is a part of your life that should be looked forward to everyday.  Good leadership is EVERYTHING! Accounting changes were not given long enough to access the success of the programs implementation.  Accounting programs were dinosaurs, so it was required to use 2 to 4 or more systems to complete what could have been done more efficiently and cost effective.  Band aids of different accounting software were used to save money, instead of buying new programs when needed.  As a result, it became an impossible situation and cost more money in the long run than would have initially.   I did enjoy the Home Office Culture, due to it's founders, it was more visible and integral in earlier years.   I will always have a respect for the founders of the company and the impact they had on their community and the principles they lived by and built their company on.  Amazing people, Amazing Leaders!   I would like to see the company return to it's grass roots, it was much more of a family and what is best for the customer and their employees.   Excellent leaders and excellent customer service are a win-win.  Problem solving can be fun and exciting, and take the company to new heights.  Thank you",4
Retail,"Walmart was/is highly competitiveWalmart was/is very stressful and there was little or no work life balanceWalmart was/is unfair to human capital that did not start in a store",3
Walmart,"I have worked on walmart for 13 years, the culture continued to change where they no longer care about their associates, we were told there was open door polices with no retaliation , found out that is not true.Our team has been short staffed and the new Walmart way is they are trying to automate all the jobs so there are no employees they will have to pay , it became very stressful . The more enjoyable part was the great friends i made while working there, they are amazing caring people . Management has changed , it became all about numbers and productivity instead of lets get together and work as a team that we and make our team great. New mangers are not required to learn the job of the teams, so how could a new manager support our needs if you dont understand what your employess do. It was very discouraging.",2
Great place to start a career,Without a doubt one of the best companies I've worked for thus far.  Great place to work if you're looking to make a career move. The only downfall is the uncertainty of Job Security. I would recommend this company to anybody who wants to accept the challenge of the corporate world.,5
none,Walmart does not value family and is mainly for single people and its all about who you know if you ever want to advance in this company. that is all.,5
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
Productive and company involvement,"Very good company to work for in Bentonville. very involved in communities.  Good cultureI worked for a great department, I have learned to respect all peopleThey provided open training for new systems and benefits",3
Company Review,"Great place if you have the right management. Be careful to trust but verify. If you are looking for quick advancement, you must network yourself. It is a competitive market",4
Great place to work,Good company and lots of opportunity for advancement.  If you work hard then you will be rewarded.  Be prepared to start out in an entry level position.,4
Very stressful place to work,"Most of my work day was sitting and working on my computer.I learned a LOT about commercial energy management, maintenance, project management, property management and building controls systems.The culture had gone downhill since I began with Walmart home office in 1996.The hardest part of the job was the associate unfairness and inequality within the department.The most enjoyable part of the job was the rare business travel and when we got together as a team.",3
Rapidly evolving workplace,"Walmart associates have the unique opportunity to affect millions of people every day. While the company is massive, each department is very lean and many groups function as startups trying to secure funding from corporate leadership to execute competing ideas. With the recent layoffs, teams have become increasingly lean - causing the environment to become even more competitive.",3
Productive and Fun.,"Dress was casual but clean.Fellow associates are wonderful to work with.Worked with a team.Sense of belonging, family.Expanding of knowledge possible and encouraged.Great coffee bars in the facilities.",4
Relaxed environment.,"Wanted things done accurately but no much sense of urgency.People are very nice yet competitive.Dress is very casual.Several systems have to work together to accomplish one process.",3
Don't do it,"Don't do it. Walmart is a cult. They will control every aspect of your life, and demand 100% loyalty, but show almost none in return. They are nearly always deceptive, frequently lying outright, and do not care one iota about your personal life. They will act like they do occasionally, but it is all superficial. Lots of politics and long hours.",1
Typical Day at work,Daily contribution to to product line quality control reporting. Also investigate and resolve customer dissatisfaction in a timely and empathetic manner.,4
This is a fun place to work,The work was repetitive and it could be difficult to get time off.  The hardest part was standing for long periods of time.  The most enjoyable part was interacting with the customers.,4
Extremely Busy,"I worked for Wal-Mart Inc for 20yrs. I worked in the stores for 10 years worked in every area in the store from the check outs to departments, layaway and claims clerk. I transferred to the home office and started in accounting on the help desk and moved to the people divisions RPA and then on to girlswear merchandising. I learned many valuable life lessons while working for this company they were always good to me.",4
Too Big,Event though there were several thousand people working in the corporate office there were many instances of the good ol boy network. CEO got into politics too much instead of working for shareholders.,2
Stressful,Sit down take calls up to 3 hours till first break and so on. So boring.Not much advancement. Lots of favoritism and no fun in the call center. Highly upset with the feeling in here.,3
All about Numbers Not People,I hate to say it but its true. I worked for this company for over 18 years and the culture has changed drastically! Pay is not worth the stress to say the least,2
Not Productive,"Working for this company is becoming a scary issue. A typical day was extremely busy with direction changing constantly. The one thing I enjoyed, was the people!",2
Looking for opportunity then look no futher,I came to the call center very optimistic mostly because this was a complete turn around from store to office setting and call center.  Everything went well and I found fellow managers and agents that were very excited to learn the next job to further a career with the company!,4
Great Culture,I enjoyed my time working in Walmart Technology. The work culture is amazing and everyone works together in a seamless fashion for such a big company. It still amazes me how everything comes together since there so many different things.,5
Walmart is exhausting,"Walmart starts out making you think its the greatest company in the world, and then you find out it's not what it's made out to be.  When the original owners had the company it was so much more interesting and now it's just another bottom line is the only thing that matters.",2
Excellent work place,Walmart is an excellent company to work for with plenty of career opportunities. It has a very strong culture and respect diversity. Walmart is working on the right process improvements to prepare to company for the future.,5
Room for advancement,There was plenty of room for advancement within the company. They offered classes to improve your skills and education as well. Not a bad place to work.,4
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
Good place to work,"So far so goodNo complaints , mangers are very ongoing, my favorite GMAlso good pay,,If meet all 3 tears bonus per QRBut is very hard to get hired",5
very good,"Excellent company. Great culture, structure and room for advancement. Strong sense of support for employees with extremely challenging and excellent projects, programs and people.",4
Workplace Culture,The workplace culture is awesome. They company is very active in diversity and inclusion for all walks of life. The majority of people are encouraging and uplifting when associates are going through a difficult place in their lives.,4
Good Workplace,"A typical day at work would be goodI have learned the architecture of the Replenishment SystemManagement and work place is goodThe enjoyable part is the challengening environment",4
Good people,Good work life/balance. Management is always trying to be accommodating to needs of your family or personal issues.  The higher up you go the more stressful but rewarding the job can be.,4
Not willing to make meaningful change,"Worked many years with the company as an Assistant And Co Manager. The market I spent the most time in never had core issues addressed. Instead, there was a long parade of market managers that would replace store managers over a 2-3 year period before they were ultimately replaced themselves.",4
High expectations,"Excellent place to build skills and learn from others. Expectations are always high.Managers and mentors were genuinely invested in helping associates grow.",4
Walmart Corporate Review,"Typical Day at my level is performing various business functions, or finishing up projects or presentations and attending meetings. They don't discourage doing things on your own and making mistakes is fine as long as your manager can see the logic. I like that about this place. You get a chance to work with a ton of people and typically they are very helpful.",4
There is nothing positive to say,Nothing positive to say about this company.  Walmart treats their employees terrible.  No consistency.  If you're a favorite you can do anything.  If you're not than be prepared to get in trouble all the time.,1
"Mixed Culture,","Stress, lacks work life Balance in most positions.  There are some great people here, but there are some that only see bottom line as the source of managing.",2
Largest retailer reinventing itself,Highly productive and competitive environment. Geared towards innovation. Trying to do more with less. Finding a balance between work and life is hard sometimes.,4
Job Work/Life Balance,It helped with being able to work from home when you or the kids were sick.  Walmart also helped with developing further skills for learning in a variety of computer languages including decision-making in design of software components.,4
walmart life in 4 years,Walmart is good for young kids looking for a job after high school or young adults looking for a stable job. If done right Walmart can also be a good career. work environment isn't always pleasant and can be very stressful at times do to other employees and management.,3
It was great in the beginning...,It was great until they got a new leadership in my team.  The outsourcing and re-badging needs to stop.  The work environment got way too stressful beginning of July 2017 and the future of the team appears uncertain.,3
Horrible,The management was horrible. Everyone was treated like trash. Unless of course you made 100k a year. Then you got treated like you were on a pedi stool.,1
it was alright,"I worked for Wal-mart Neighborhood market. Opened the location in Bentonville across from the harps, The manager at the time was a great guy and I enjoyed working for him. His assistant managers however is a different story. They where too passive aggressive and looked down upon the other employees. one in particular I did not agree with nor he agree with me. I did what I could to keep our interactions to a minimum so that I could avoid a workplace dispute. But he had his plans and would seek out trouble with the other employees and make it difficult for them too. When we all reported it to our manager little action was taking besides a light reprimanding. When it came to Verbal abuse from the assistant manager I spoke with my manager about but still nothing. I put in my two weeks and haven't bothered to seek further at Wal-Mart after that.",3
Demanding yet rewarding place to work,"Walmart has a culture of working very hard and putting the customer first.  It has a formula that works very well for traditional big box retail.  It's struggling to be successful in e-commerce, but is making logical moves to strengthen e-market presence.",3
Productive and Fast Paced enviroment,It was a pleasant experience overall while working here. Management and Co-workers are extremely friendly and they provide a good support group if any questions needed to be asked.,3
Legacy management practices,"So stuck in 1960s top down management they don't relize it.  They say all the modern management things, but they are so set in old ways it isn't even obvious to them.",2
Will learn a lot,"Overall, Walmart is a great place to work. You will learn a lot and it is a fast pace environment because of the evolution of Retail.  My recommendation is to learn as much as possible while there.",4
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
Good,This is a good place to work. There are a lot of opportunities to grow in this department.  The managers and staff were helpful and nice to work with. The environment is also warming and a great place to achieve with productivity and teamwork.,4
Experience,"I have worked at Walmart for almost 10 years.  The work experience I have gained over the years has been incredible.  Customer Service, Flexibility, Decision Making, Effective Communication, etc.",3
I worked for the best team.,I worked for the best team within the company.  It was a great experience.  I wouldn't trade the experience & companionship for anything.  I was able to expand my knowledge outside the basic legal scope of the business.,3
Enjoyable part,"My favorite part of the day was working with my field associates.  I enjoyed the managers, clerks, and human resource managers and clerks I worked with out in the field.",3
Training,"You were promised training and never received it.  I enjoyed the assignment and workplace atmosphere.  People very friendly.I learned a lot during this assignment.",2
productivity and good environment,Good place and environment  to work.                 Some times stressful.   Good benefits and pay ..                  Need more floor support for my job.,4
"Fun, competitive environment!",Walmart is the perfect place to work and learn the ropes of retail.  You can't get a better education than working for them.  Not always 8-5 and some Saturdays required.,5
Lacks Culture and Development,If you are a Millenial. The culture will be very slow and very little opportunity for career growth. There is a lot of reorganization and management is too busy to develop associates. Lacks diversity in Home Office setting.,2
Extremely stressful and cut-throat (Home Office only),"Long days required to get the job done, including sometimes having to give up vacations.  Cut throat co-workers, favoritism was apparent  Terrible work / life balance. Company more interested at meeting their goals than what was going on with your family.",3
Unstable and poor culture,"Poor culture; Unstable job environment due to competition from Amazon; Stressful; lots of politics; lots of friction with eCom team in San Jose, CA; would not recommend anyone to join the company;",1
Nice place to work,I strongly believe that this is a nice place to work. Amazing work life balance for an man level job. Small work force so you get a lot of responsibility early on.,4
"Challenging, Fast Paced environment.  New opportunities","Leadership will take time to develop your skills and experiences.  Work Life Balance and the ability to work remote is often available.  Opportunities are abundant with mentoring available, job shadowing, and continued education.",5
Bad work culture,Very cut throat attitude among employees. Lots of layoffs. Stock is decreasing. Very poor management leadership.   Strict travel rules and budgets.AAAAAAAAAAAAAAAAAA,2
No frills retailer in transition,Traditional brick and mortar retailer with designs at becoming a major e-commerce player.  Walmart culture is integrated into everything at the home office (all meetings begin with the walmart or Sam's cheer) and understanding that culture is a key to success.,4
Corporate Security,Corporate security is great for someone looking for a reactive job. There is little work to do until there is something generated. The managament does not seem to have a full grasp on how to organize themselves or the department. Little gets accomplished with lots of busy work in between. If you get the position or schedule you want hold on to it or it will be gone. Great place to work to get to know friendly people.,4
Quick paced and great management,Worked with a great team to help accomplish the transportation needs that were required of us to make sure facilities had the items picked up and delivered on time to ensure customer satisfaction.,5
The biggest and best company on the Planet,"If you want to make an impact on the planet, Walmart will give you the platform to do so. Everything you do impacts millions and millions of customers all over the world.",5
"In general, a good place to work.",System group iscurrently going through a tech modernization program to become a digital company.  A considerable number of positions have been eliminated recently and more reductions are expected.,3
Great Company,"Great Company to work for and to be a part of, lots of room for advancement in the many divisions and departments. Moving around can be a bit challenging with interview process.",4
Temp work at home office,"Keep in mind that your direct manager on the job is not, and has so little to do, with the people who decide your employment when you're temp at walmart.",4
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
Great working environment.,Very diverse. You meet a lot of interesting and good people. Team work is big there. You have good chances to grow and advance there. I had a great experience there.,4
Hard for minority,"Not a  place you can be yourself. Management shows favoritism. I been there a year and they had 4 Mass Fires, hundreds of people lost their jobs. Jobs are not secure at Walmart at all.",2
"Good Job, don't buy the ""Family"" hype","Worked long term and was well compensated.  Coworker's were really great people, however leadership spoke a lot to ""Family"" but made decisions daily that demonstrated you were really just an employee.  Take the talk with a grain of salt, leadership feels no guilt in laying off talented experienced associates to achieve their goals and bonuses.",3
Acting Out Desperation on Associates,"There is a strong sense that everybody is in it for themselves. While Walmart has the resources to bring in top talents around the world, it has yet to learn how to keep these talents. The advancement opportunities are challenging to say the least;  ranks, status, and class are extremely important as much as they tell you otherwise; innovation from the rank and file are not embraced, but once the senior management decided something has to be done it is their way or highway. The ""open door policy"" is a joke. You will be thrown out the door if you ever dare to challenge your management for their wrong doing or dishonesty. In my two years I have seen at least 12 rounds of layoffs at this company. Too much instability and uncertainty.",3
n/a,Company moral on a corporate level is different from a store level. Management was very understanding of problems and accommodated accordingly. Great work place.,3
Administrative Assistant,"When I first joined  Walmart, it was my first job in a different country.  As soon as I started, the assistant I had to report to, just handed all the work (piles and piles of tasks that hadn't been done ... hardly any training .. it was a sink or swim situation.  After I got the hand on things, everything improved",2
Ok,Ok at best . Read the cons section. At least I was employed for over 9 years and was able to learn and build my career.  Now I have to start  from the bottom,3
good place to work,I have enjoyed my time there. I learned a lot as there isnt a typical day at Walmart. It is a dynamic culture that require strong leadership and collaboration skills,4
It's up to you,"You can make whatever you want of this company. Just like most jobs, it's just a matter of how what kind of work life balance you want. Most managers start as hourly. That's not just something they say. Managers can make very good money. Hourly associates can also make pretty good money. Work hard, show up on time. Really not difficult.",4
Workplace culture,"Management does not necessarily have the skills to manage the teams they are in charge of.  Once a person's skills are known, easily can be taken advantage of by being asked to ""help out"" others and made to feel guilty if leaving work on time.  Enjoyed friendships made during the time there.",2
walmart overview,"I started at the optical lab which in this facility it was air conditioned and involved light lifting and minimum walkingafter 9 years I transferred to the reclaim warehouse in Bentonville this building is a metal building with no work area ac which requires continuous heavy lifting and two small breaks are given in a ten hour period inadequate for any decent lunch break. For a older person I would not recommend this job location.",4
Best place I have worked,"Working here I felt like I was part of a family.  My management had my back when a personal situation effected my performance and stood behind me to get through it,  I lost two family members while employed at Walmart and they were very supportive during that trying time.",4
Great company to work for - apart from middle management issues and politics,"Fantastic culture, great message, true belief in work/life balance.   Poor middle management (most VP's and above are great...directors and below are all about maintaining the status quo).     Every job I've had here was highly political (I've had many).  ""Perception is reality"" is bandied about relentlessly.  Project management is all about money and dates, not really much maturity in quality deliveries or usable products. Scale works for you - when you do something cool it affects 2 million associates or millions upon millions of customers.  You can be an engineer one year, an HR representative 3 years later, and an IT manager 3 years after that.  Walmart offers unparalleled job diversity.    Scale also works against you, to get something done you need to know the right people and build the right relationships or walls of red tape will appear out of nowhere.   Overall, it's a great company to work for (speaking from a home office perspective).  Management woes are not unusual, the ability to navigate a political environment is a must, and you can easily find glass ceilings if you go against the grain of your manager's style.  I could just be a difficult/hard to manage associate, but I've had approximately 10 bosses and only 3 of them I would recommend to others.",4
Great Place to Grow,Walmart is one of the largest companies in the world making it an awesome place to start a career and learn the ins and outs of the different areas in the retail industry.,5
"Educational, fast-paced, fun","Lots of learnings, fast paced, friendly work environment.  Learned a lot about the whole supply chain.  Culture is great!  Enjoyed the people I worked with.",5
Everything I am today I learned for Walmart,"Walmart is a great company to work for. You learn so much really fast. They want you to be successful. They will listen to your ideas and change if needed. If you are successful so are they. They understand it's the associates that make them successful. They really drive home dedication, flexibility, and reliability. It's their core for each associate to be this type of person.",5
"Productive environment with good culture, dedicated and engaged management.","Overall experience was positive, gained great business and IT knowledge and had the opportunity to engage with great co-workers and experts in a variety of fields.",4
Hourly Supervisor,Supervised 78 hourly associates for Walmart.com. Performed customer escalation resolutions. Wrote evaluations. Performed interviews for new hires. Assisted in investigations on performance issues.,4
renewed IS facility,"ISD just got refurbished, though now a ghost town due to jet.com aquisition, other M&A activities. Senior PM experience is being sacrificed for newley-minted MBA's, and/or coders with additional tasking of project management as a facilitation effort to deliver. CEO 'support the associates' approach is meant for hourly employees in the stores, NOT the back-office professionals.",2
An awesome job at a company with the ability to change the world,I learned marketing fundamentals by while having the ability to work on various types of projects and businesses. Everything centered on putting the customer first.,4
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
Excellent and fun workplace.,I really enjoyed working here and I am really thankful that I got this opportunity to work hear and learn new skills. Overall a great place to work. I really recommended this place to work.,5
Good environment,"The work was not hard and you had help all around.  Easy to get help anywhere you look, but they are very by the book.  they follow policies strictly, which lead to my termination.",4
Need to accommodate various learning styles,The position I was placed in required training in a training room. As an individual who does not do well in a training room environment this was not a very good fit for me.,3
Very political,"Rather refrain from sharing.  Working harder rather than smarter mindset.  - Old associates unwilling to embrace change.  If it ain't broken, do not fix it mentality. - Middle managers protecting their role and seniority at the expense of others.",2
The Return Center was a good place to work,At the Return Center everyone work as a team.  The Management was good to work with the assonant and make sure the work environment was good  and your got overtime.,3
You had to work as a team.,"This was a productive fast pace working environment.  You had to work as a team. the most enjoyable part of the job was the people. Management was good.",2
Ok,Has good culture and advancement. I guess you have to like speaking on the phone to enjoy this job- and helping people of course. Its not as bad as customer service/Customer relations. Here you can actually help people more and its a smaller team. Less than 30,3
hostile work environment,No job security. There is a lot of backstabbing and fighting to get to the top. Consistent unethical behavior from supervisors. No respect for individuals. Consistent retaliation for associates that utilize the open door policy.,1
Easy to work with people.,"I never expected to ever work for Walmart as I didn't know much of their culture and had bad views about them. However that all changed once I started working there.  As an Application Developer I get to do many fun project related to web and native applications.  The Culture there is amazing. People are so nice and they respect you and listen to what you have to say.  Also teams are very supportive of each other and thats once of the things i love the most working there.",5
Stressful,"a typical day running reports and managing supplier needs, Management team are not so good there's alot a micro managing. The culture of the company is nothing like it was a few years ago and based on seasonal employees its not what Sam Walton based his company on. The hardest part about this job there was no accurate training you will need to be a self starter and motivator and find ways to learn the job, the supervisors currently in the role don't care anymore. Most enjoyable part of the job is other members on your team and in the company",3
Competitive Salary and Benefits yet no work life balance or job security.,Competitive Salary and Benefits yet no work life balance or job security. Constant Layoffs especially affecting long term associates. Can not make a life long career due to round after round of Layoff's,2
Productive Large Company,"Overall great experience,  once you work here there is not much you can't do.  They have a way of moving their leaders around so that they can gain additional work experience and skills",4
Good Store,"Nice people, busy, lots of diverse merchandise. Picking set schedules is a plus. Not enough parking and the HO workers think they own you. Something you'll have to get used to is waiting forever in the check out line",4
The Worst Managers,"No additional training was given if someone made a mistake, only consequences. Help was not provided, other co-worker still there when she is not people friendly",2
Awful company,"Promotions are not based on experience or qualifications, but based upon who you know and who likes you. Awful hours and work/life balance is practically non-existent. The company doesn't listen to its workers and doesn't really care about you as part of the team. Upper management doesn't do their jobs at ALL. They wont do their one-on-ones or help you with your IDP. They dont want to see you advance.",3
A plus!,I really enjoyed my time at Walmart. I was able to promote from their call center to being a workmans comp adjuster and eventually worked my way to being a Sr Adjuster.,5
"Great place to work, but you have to put your time in.",Despite some of the negative press Walmart can be a good spring board into other forms of retail work. There are many positions in the store this includes working on the floor or behind the scenes operations.,4
Competitive in the Job Market,"Fast paced, real time environment.  Made great work contacts and formed friendships throughout the US.  Associate discount is a nice benefit.  Not enough work/life balance as working 10+ hours a day and weekends creates a burnout.",3
Great place to work. Awesome bonus and stocks,Worked for walmart for 17 years and loved it. Recent management changes with the acquisition of .com sites has made it unstable for long term associates.,4
Change in company culture,"The company culture changed a lot in the time I was there.  The company does not focus on the Associate the way it claims.  If your focus is solely on career and do not mind a disproportionate work/life balance that is weighed heavily on work, you will be fine.",2
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
Walmart's Marketing Department - a great place to work,Walmart's Marketing Department has exceptional leadership who are actively engaged in bringing out the best in their associates and are constantly encouraging striving for work/life balance.  Work/life balance is very difficult though as most associates are deeply committed to their work and fulfilling the current mission/vision.  There is so much going on at this giant that it is easy to spread yourself too thin.  The best part is the caliber and integrity of the associates.  Absolutely first class!,5
The most enjoyable part of the job.,"Implementing new software systems. Working with cross functional teams. Learning new software systems. Enjoying the digital direction Walmart is moving to now, and in the future.",4
"Good pay, bad work life","Was a great place to move up. Started as an Hour ASC but through a lot of hard work and late nights was able to be promoted. We have slot of new good data but takes a lot of work to build it all out Wich causes you to work slot of hours trouble shooting issues. You are expected to support multiple catgs and be an expert in all of them, which causes you to work late slot.",3
Working with great associates,Walmart hires great people but they are not loyal to those people. There is supposed to be respect for the individual but that sometimes does not happen.,3
Great company to advance in.,Walmart allows the opportunity for their employees to advance within the company. Management and employees work together to have a balance work life and personal life that suits both the employer and employees. They work to keep their employees satisfied with their jobs.,5
worked togeher as a team on night shift,I worked on a crew of 9 men and women. we were a weekend night shift crew. during the day there was more than 800. we got stuck with the left over merchandise day shift left us. we worked like dogs to keep the same quota that day shift had. we non con and shipped 126 different store each night.,4
Great Career,Wal-Mart was a great place to grow my knowledge of Logistics and processes. Was exposed to cutting edge improvements that shaped the industry over a 20 year period.,4
Major retailer with headquarters located in Bentonville Arkansas.,Major retailer with headquarters located in Bentonville Arkansas.  This large corporation offers various job opportunities at all levels of experience.,4
Good benefits and work environment.,"Great culture and excellent associates.  Steady hours and if you're willing to put in the effort, job development and advancement are readily available.",4
niceplace to work,"Walmart is a good company to work for good benefits and pay the company like to promote employees within if the employee would like to move into management, also has stock options and a good 401K",5
Good Company,"good company to work for, but they do not care about long term associates.   It is all about bringing in young people who do not care about the company but just want to get Wal-Mart experience and then leave.",3
Good place to learn retail,"Worlds largest retailer is a great place to learn the foundation of retail. It is a difficult environment to develop and be promoted within, but there are so many areas to work in.",3
Good Place to work with,Good place to start your career and keep working. you get to learn new things and implement them. As well as the growth is good untill and unless you do not will to grow.,5
Great but not,"Working here was great! I love the people I worked with and loved my job! Always had working for Walmart as a goal in my life after meeting Sam Walton. Unfortunately, with the new restructuring my position was removed. So even though I loved my job, got nothing but great feedback on my work, and always had a positive attitude, I was just a replaceable as the associate next to me. Nothing but a number that can be let go no matter how well you do your job!",3
Excellent community involvement,I love how WM is involved with the community. They treat they're associates and customers well. I like the innovative ideas they put in place quickly.,4
Exciting place to work,"Walmart has been great place to work for me over my long career with them. Being a Fortune 1 company over last several years, I got great experience of complex work environments at the scale.",4
Productive environment,Walmart was one of the greatest places I've ever worked. The corporate culture was amazing and really made you feel as though you are a part of the success of the organization.,5
"United work force, high standards",Walmart is a great place to be. I have grown far in Walmart. If you are willing to put in the effort and network there are many opportunities for advancement. It's just a matter of finding someone who knows the answers you are seeiking. If Walmart Corporate was available in the areea I am moving too I would stay with this company for life.,5
Sr Buyer,The Sams Club team in Bentonville is top notch at what they do. Excellent group of merchants who care and who really try and deliver the best pricing and products to their members. Great collaborative team,5
Awesome place,Great Place to Work if you are willing to learn and understand unstated objectives. It will challenge your previous impression of the company prior to moving here.,4
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
Call Center,"Basic Call Center atmosphere. You are micro-managed and tied to a phone. Your breaks are scheduled, you have to be able to use various programs simultaneously.",2
"Fun people, good relationships, enjoyable place to be!",This was a family organization when I was there. I learned so much and was so happy for the opportunity. I grew up in Bentonville and swam in the pool with Mr. Sam. I have no complaints about the business or the direction it takes. I believe that the people there are truly trying to do good things.,5
Challenging and Learning Work Experience,"Multicultural Work Environment with latest technology platform for a learning experience.Management support and cooperation for  rewarding job opportunities.",4
Responsible for solving significant issues for IT and Operations,"Allowed freedom to make decisions, solve issues, manage multiple teams in a challenging and rewarding environment.  Great company with a customer and people focus.",5
dont try,"Everything here is bad.  Advancement, pay, workers, everything,  Dont work here.  Find something else.  You are better off if you do.  Believe me, it will save you the headache,",1
Changes ruining a great organization,Every quarter there is a new org structure. Clear bias for certain section with too much tribal politics. No HR review of talent or efforts to retain.,2
Walmart was a fun place to work. But the culture is changing,I had the tools and authority to do my job and assist the customers as needed. What I have seen is Walmart has new upper level management and they are not following the Walmart culture.,3
Employee Scorned,The company culture has changed.  Management has too much power over other people's lives.  The company promises a lot by relocating them to the area and delivers very little by providing them information on the lay-offs and disrupting their lives..,3
Awesome Experience,"Very advance technology but is very fugal in other areas.  Need to invest more in people at the lower management level.  I love the security and utilizing top of the line technology to test, track, and implement quickly.",3
Senior Inventory Coordinator,I review orders on the order days to make sure the number of units were not going to over stock a club. If I determined the order was incorrect I would reach out to the supplier and cancel the order and begin working through the process of identifying what the issues were.  I would check out of stocks and determine why the club was out of stock. I handled member requests for additional product.,4
Great technology location to do things not possible anywhere else,"Walmart Inc,was the last place on my radar for my career in IT Security which turned out to be the very place where I could take action, try new tactics, mentor others, and influence an industry that is very lucrative and fairly new-er! It is like drinking from a fire hose all of the time and technologists are never bored there. This especially goes for application development. Opportunities to resolve problems and learn more about anything are available in the conversations that you choose. You can be a part of anything, it is the culture there and there are numerous brilliant, effective people all around you. Be prepared for a start-up mentality where you may not see the effects of what you contribute initially, but keep standing in the truth of your tasking. You will see this massive technology ship's rudder turn ever so slightly and then your idea is working as people are using it to resolve their issues or just do something better, faster,  in 28 countries! I got to share with technologists from from all around the globe. I learned that not only IT Security folks but all of the technologists that we interact with have commonalities in their problems and resolutions, that need to be measured and documented for costs savings and repeat-ability. Such fun!",5
"High Risk, High Reward","Walmart has a sink-or-swim environment where strong developers can look forward to quick advancement. The benefits are better than one would initially expect, especially for those raising a family, or who plan to start one soon.",4
Great networking ability,Organized Chaos-- In competition with Amazon seemed far fetched to most employees but of course they complied.  The environment does not promote speaking freely.  Still operates in an antiquated environment of fear and keeping opinions/ new ideas to oneself.  Very intense.,4
Recommended,Management​ was great. Treat employees fairly. Will return to employment if offered. Good work environment and friendly co-workers. Great benefits and compensation.,5
Exceptional atmosphere in the Home Office,"During my time with Walmart Home Office I felt very welcomed, always provided with help, as well as productive feedback. Management was always exceptionally helpful and provided you with the assistance and guidance necessary to complete tasks.",5
"This company only cares about the bottom line, not you.","It doesn't matter how hard you work or how much you give, it's all about the money they are making. They hide what the plans are for your future and tell you misleading facts to keep you there.",2
Fair working environment where associates are respectful of each other,"A busy day at work where goals are met, a place of respect for the individual, integrity, a pleasant and happy working environment. Casual tech attire",5
Good compensation,"Work life balance very imbalanced.Great place to learn merchandising and operating on a very large scale.Management going through tremendous change.",4
Fast paced and ever changing with countless possibilities for advancement,"Working at the corporate office is high-paced and responsibilities are constantly changing.  In my experience, I was able to move up within the company with no college degree and although may have taken longer, there was always multiple options for continued growth and advancement.",4
